run	ls	alcatracks	duration	Bfield	mode	mode_flag	mode_text	pixeltracks
377044	70	3785	1625	0.0	DECO	GOOD	from_both_DB_and_S/N	322
377046	135	7731	3125	0.0	DECO	GOOD	from_both_DB_and_S/N	681
377049	233	13109	5426	0.0	DECO	GOOD	from_both_DB_and_S/N	1091
377050	537	30167	12518	0.0	DECO	GOOD	from_both_DB_and_S/N	2595
377051	851	48001	19822	0.0	DECO	GOOD	from_both_DB_and_S/N	4161
377053	5	2	110	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377055	461	26024	10739	0.0	DECO	GOOD	from_both_DB_and_S/N	2224
377056	234	13115	5443	0.0	DECO	GOOD	from_both_DB_and_S/N	0
377057	325	18297	7565	0.0	DECO	GOOD	from_both_DB_and_S/N	0
377058	166	9011	3861	0.0	DECO	GOOD	from_both_DB_and_S/N	0
377059	6	318	127	0.0	DECO	GOOD	from_both_DB_and_S/N	0
377060	226	12937	5261	0.0	DECO	GOOD	from_both_DB_and_S/N	1069
377061	611	34454	14214	0.0	DECO	GOOD	from_both_DB_and_S/N	2928
377063	1925	108476	44857	0.0	DECO	GOOD	from_both_DB_and_S/N	9148
377064	964	54514	22458	0.0	DECO	GOOD	from_both_DB_and_S/N	0
377065	1719	97213	40053	0.0	DECO	GOOD	from_both_DB_and_S/N	8211
377068	574	0	13366	0.0	???	GOOD	from_both_DB_and_S/N	0
377078	5	0	109	0.0	???	GOOD	from_both_DB_and_S/N	0
377113	18	0	393	0.3	???	GOOD	from_both_DB_and_S/N	0
377116	9	0	201	0.8	???	GOOD	from_both_DB_and_S/N	0
377117	10	0	225	0.9	???	GOOD	from_both_DB_and_S/N	0
377120	111	0	2578	2.9	???	GOOD	from_both_DB_and_S/N	0
377125	19	948	440	3.8	DECO	GOOD	from_both_DB_and_S/N	4
377126	111	5785	2567	3.8	DECO	GOOD	from_both_DB_and_S/N	436
377127	1499	79599	34937	3.8	DECO	GOOD	from_both_DB_and_S/N	5616
377128	195	9358	4526	3.8	DECO	GOOD	from_both_DB_and_S/N	705
377129	102	5055	2360	3.8	DECO	GOOD	from_both_DB_and_S/N	402
377139	222	0	5166	3.8	???	GOOD	from_both_DB_and_S/N	0
377146	45	0	1031	3.8	???	GOOD	from_both_DB_and_S/N	0
377148	14	0	321	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377150	13	0	298	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377152	9	0	190	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377151	6	0	124	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377153	187	0	4344	3.8	???	GOOD	from_both_DB_and_S/N	0
377157	6	0	125	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377155	4	59	72	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377158	3	8	56	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377159	11	0	235	3.8	???	GOOD	from_both_DB_and_S/N	0
377160	42	0	968	3.8	???	GOOD	from_both_DB_and_S/N	0
377161	2	0	43	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377162	14	0	322	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377166	7	17	146	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377170	251	13196	5842	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377174	73	3904	1682	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377175	123	6392	2855	3.8	DECO	GOOD	from_both_DB_and_S/N	450
377176	235	12253	5358	3.8	DECO	GOOD	from_both_DB_and_S/N	933
377177	749	38075	17429	3.8	DECO	GOOD	from_both_DB_and_S/N	2625
377178	1167	60077	27200	3.8	DECO	GOOD	from_both_DB_and_S/N	4247
377179	53	2746	1217	3.8	DECO	GOOD	from_both_DB_and_S/N	210
377180	64	3455	1488	3.8	DECO	GOOD	from_both_DB_and_S/N	271
377181	12	611	273	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377182	103	5520	2382	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377186	8	11	154	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377185	4	15	62	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377188	46	2353	1044	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377189	19	938	414	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377190	13	667	298	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377191	1	0	21	3.8	???	GOOD	from_both_DB_and_S/N	0
377192	23	0	524	3.8	???	GOOD	from_both_DB_and_S/N	0
377194	29	0	658	3.8	???	GOOD	from_both_DB_and_S/N	0
377196	9	0	202	3.8	???	GOOD	from_both_DB_and_S/N	0
377197	21	0	490	3.8	???	GOOD	from_both_DB_and_S/N	0
377198	5	0	112	3.8	???	GOOD	from_both_DB_and_S/N	0
377202	35	0	810	3.8	???	GOOD	from_both_DB_and_S/N	0
377203	30	0	699	3.8	???	GOOD	from_both_DB_and_S/N	0
377204	24	0	549	3.8	???	GOOD	from_both_DB_and_S/N	0
377205	8	0	161	3.8	???	GOOD	from_both_DB_and_S/N	0
377206	6	0	124	3.8	???	GOOD	from_both_DB_and_S/N	0
377208	7	0	159	3.8	???	GOOD	from_both_DB_and_S/N	0
377209	21	0	472	3.8	???	GOOD	from_both_DB_and_S/N	0
